Work Item ID,Issue Type,Summary,Description,Parent,Labels,Priority
CS-001,Story,TAV-CUS-DIS-001 Customer discovers TAVLO platform homepage,"Implements Action Story TAV-CUS-DIS-001.

Trigger
Customer lands on TAVLO homepage

Immediate UI Reaction
System displays hero section with featured restaurants
Customer scrolls through how-it-works section
Platform benefits highlighted with CTAs for search/scan QR

System Action
Loads homepage content <2s
Progressive image loading
Responsive design for mobile/desktop

Effects on Other Actors
System:
• Tracks homepage visits
• Logs user interaction analytics

Failure States
• Slow loading >2s → Show loading skeleton → Retry
• Images fail to load → Show placeholders → Progressive enhancement",CE-001,"action:TAV-CUS-DIS-001,customer,discovery",Medium
CS-002,Story,TAV-CUS-DIS-002 Customer searches restaurants on discovery page,"Implements Action Story TAV-CUS-DIS-002.

Trigger
Customer taps search bar on discovery page

Immediate UI Reaction
Search input activates
Location options: Manual entry or GPS access

System Action
Loads nearby restaurants based on location
Grid display with sort options
Lazy-load additional restaurants

Effects on Other Actors
System:
• Queries restaurant database by location
• Applies distance/relevance sorting
• Caches results for performance

Failure States
• GPS permission denied → Prompt manual entry → Fallback
• No restaurants found → Show empty state → Suggest expanding radius",CE-001,"action:TAV-CUS-DIS-002,customer,discovery",High
CS-003,Story,TAV-CUS-DIS-003 Customer filters restaurants by cuisine/rating,"Implements Action Story TAV-CUS-DIS-003.

Trigger
Customer taps filter button

Immediate UI Reaction
Filter panel opens with options
Categories: Cuisine, Price, Dietary, Rating, Distance

System Action
Real-time results update as filters applied <500ms
Active filter badges displayed
Multiple filters combine with AND logic
Dynamic result counts shown

Effects on Other Actors
System:
• Applies filter criteria to restaurant query
• Updates result count in real-time

Failure States
• No results for filter combination → Show empty state → Suggest removing filters",CE-001,"action:TAV-CUS-DIS-003,customer,discovery",Medium
CS-004,Story,TAV-CUS-DIS-004 Customer views restaurant profile,"Implements Action Story TAV-CUS-DIS-004.

Trigger
Customer taps restaurant card

Immediate UI Reaction
Restaurant profile loads <2s
Hero image, info, menu preview, reviews, hours, map, amenities displayed

System Action
Loads restaurant data from database
Displays real-time open/closed status
Optimizes images for fast loading

Effects on Other Actors
System:
• Retrieves restaurant profile data
• Checks current operating hours

Failure States
• Profile fails to load → Show error → Retry button
• Images fail → Show restaurant name placeholder",CE-001,"action:TAV-CUS-DIS-004,customer,discovery",High
CS-005,Story,TAV-CUS-DIS-005 Customer scans QR code at table,"Implements Action Story TAV-CUS-DIS-005.

Trigger
Customer scans QR code at restaurant table

Immediate UI Reaction
Camera activates
QR code scanned and validated

System Action
Extracts restaurant ID and table number from QR code
Validates QR code authenticity
Creates session with restaurant+table context
Loads menu within 3s
Checks for existing shared session

Effects on Other Actors
Vendor:
• Restaurant notified of new session
• Table tracking updated

System:
• Creates session record
• Links session to restaurant and table

Failure States
• Invalid QR code → Show error message → Manual restaurant selection
• Camera permission denied → Prompt permission → Fallback to manual
• QR code expired → Show error → Contact restaurant",CE-001,"action:TAV-CUS-DIS-005,customer,discovery",High
CS-006,Story,TAV-CUS-DIS-006 Customer views restaurant info from QR landing,"Implements Action Story TAV-CUS-DIS-006.

Trigger
Customer taps info icon on QR landing page

Immediate UI Reaction
Info modal opens <300ms
Displays: Overview, Description, Hours, Contact, Address, Amenities, Social links

System Action
Retrieves restaurant information
All links functional (click-to-call, directions, social)

Failure States
• Modal fails to load → Show basic info → Retry
• Links broken → Show error → Alternative contact methods",CE-001,"action:TAV-CUS-DIS-006,customer,discovery",Low
CS-007,Story,TAV-CUS-DIS-007 Customer changes language,"Implements Action Story TAV-CUS-DIS-007.

Trigger
Customer taps language selector

Immediate UI Reaction
Language dropdown appears
Options: DE (German), EN (English), AR (Arabic)

System Action
Switches language <500ms
Translates UI and menu content
Applies RTL layout for Arabic
Saves language preference to profile/session

Effects on Other Actors
System:
• Updates session language preference
• Loads translated content

Failure States
• Translation fails → Show fallback language → Retry
• RTL layout broken → Fall back to LTR → Log error",CE-001,"action:TAV-CUS-DIS-007,customer,discovery",High
CS-008,Story,TAV-CUS-DIS-008 Customer enables accessibility features,"Implements Action Story TAV-CUS-DIS-008.

Trigger
Customer taps accessibility button

Immediate UI Reaction
Accessibility panel opens
Options: High contrast, Large text, Screen reader, Reduced motion, Keyboard navigation

System Action
Applies selected features instantly
Ensures WCAG AAA compliance
Alt text on all images
No layout breaks

Failure States
• Feature application fails → Show error → Manual fallback",CE-001,"action:TAV-CUS-DIS-008,customer,discovery",Medium
CS-009,Story,TAV-CUS-ACC-001 Guest browses menu without account,"Implements Action Story TAV-CUS-ACC-001.

Trigger
Guest accesses menu without signing in

Immediate UI Reaction
Guest session created with UUID
Browsing enabled without authentication barriers

System Action
Creates guest session
Saves basket to localStorage
Shows subtle sign-in prompts
24-hour session persistence
Checkout offers signup

Effects on Other Actors
System:
• Tracks guest session
• Enables seamless upgrade to account

Failure States
• Session creation fails → Retry → Fallback to cookie
• localStorage full → Warn user → Reduce data",CE-002,"action:TAV-CUS-ACC-001,customer,account",Medium
CS-010,Story,TAV-CUS-ACC-002 Customer signs up for account,"Implements Action Story TAV-CUS-ACC-002.

Trigger
Customer taps Sign Up

Immediate UI Reaction
Signup form displayed
Fields: Email, Password, Name, Phone

System Action
Real-time validation of all fields
Password strength indicator
Terms acceptance required
Creates account <2s
Hashes password (bcrypt)
Sends verification email
Auto sign-in after creation
Migrates guest basket to account
Awards welcome bonus

Effects on Other Actors
System:
• Creates customer record in database
• Sends verification email <1min
• Migrates existing basket data

Failure States
• Email already exists → Show error → Suggest sign in
• Verification email fails → Retry → Manual verification option
• Basket migration fails → Manual re-add → Preserve data",CE-002,"action:TAV-CUS-ACC-002,customer,account",High
CS-011,Story,TAV-CUS-ACC-003 Customer signs in,"Implements Action Story TAV-CUS-ACC-003.

Trigger
Customer taps Sign In

Immediate UI Reaction
Sign in form displayed
Fields: Email, Password, Remember Me checkbox

System Action
Validates credentials
Queries database for customer
Verifies password hash
Creates JWT session token <1s
Loads customer profile
Merges guest basket with account basket
Updates last login timestamp
30-day remember me option

Effects on Other Actors
System:
• Creates authenticated session
• Merges basket data
• Logs login event

Failure States
• Invalid credentials → Show error → Forgot password link
• 5 failed attempts → Lockout → Password reset required
• Session creation fails → Retry → Contact support",CE-002,"action:TAV-CUS-ACC-003,customer,account",High
CS-012,Story,TAV-CUS-ACC-004 Customer resets password,"Implements Action Story TAV-CUS-ACC-004.

Trigger
Customer clicks Forgot Password

Immediate UI Reaction
Email input field displayed

System Action
Sends reset link to email <1min
Generates secure token (1-hour expiry)
Email contains reset link with token
Customer clicks link
Validates token
New password form with strength indicator
Hashes new password (bcrypt)
Updates database
Invalidates old token
Auto sign-in after reset

Effects on Other Actors
System:
• Sends password reset email
• Invalidates old password hash
• Creates new session

Failure States
• Email not found → Show error → Suggest sign up
• Token expired → Show error → Request new reset link
• Email delivery fails → Retry → Contact support",CE-002,"action:TAV-CUS-ACC-004,customer,account",Medium
