Action ID,Labels,Priority
TAV-CUS-DIS-001,"action:TAV-CUS-DIS-001,customer,discovery",Medium
TAV-CUS-DIS-002,"action:TAV-CUS-DIS-002,customer,discovery",High
TAV-CUS-DIS-003,"action:TAV-CUS-DIS-003,customer,discovery",Medium
TAV-CUS-DIS-004,"action:TAV-CUS-DIS-004,customer,discovery",High
TAV-CUS-DIS-005,"action:TAV-CUS-DIS-005,customer,discovery",High
TAV-CUS-DIS-006,"action:TAV-CUS-DIS-006,customer,discovery",Low
TAV-CUS-DIS-007,"action:TAV-CUS-DIS-007,customer,discovery",High
TAV-CUS-DIS-008,"action:TAV-CUS-DIS-008,customer,discovery",Medium
TAV-CUS-ACC-001,"action:TAV-CUS-ACC-001,customer,account",Medium
TAV-CUS-ACC-002,"action:TAV-CUS-ACC-002,customer,account",High
TAV-CUS-ACC-003,"action:TAV-CUS-ACC-003,customer,account",High
TAV-CUS-ACC-004,"action:TAV-CUS-ACC-004,customer,account",Medium
TAV-CUS-ACC-005,"action:TAV-CUS-ACC-005,customer,account",High
TAV-CUS-ACC-006,"action:TAV-CUS-ACC-006,customer,account",High
TAV-CUS-ACC-007,"action:TAV-CUS-ACC-007,customer,account",Medium
TAV-CUS-ACC-008,"action:TAV-CUS-ACC-008,customer,account",Low
TAV-CUS-ACC-009,"action:TAV-CUS-ACC-009,customer,account",Medium
TAV-CUS-ACC-010,"action:TAV-CUS-ACC-010,customer,account",Medium
TAV-CUS-ACC-011,"action:TAV-CUS-ACC-011,customer,account",High
TAV-CUS-ACC-012,"action:TAV-CUS-ACC-012,customer,account",Low
TAV-CUS-DIN-001,"action:TAV-CUS-DIN-001,customer,dining",High
TAV-CUS-DIN-002,"action:TAV-CUS-DIN-002,customer,dining",High
TAV-CUS-DIN-003,"action:TAV-CUS-DIN-003,customer,dining",Medium
TAV-CUS-DIN-004,"action:TAV-CUS-DIN-004,customer,dining",Low
TAV-CUS-DIN-005,"action:TAV-CUS-DIN-005,customer,dining",Medium
TAV-CUS-DIN-006,"action:TAV-CUS-DIN-006,customer,dining",Medium
TAV-CUS-DIN-007,"action:TAV-CUS-DIN-007,customer,dining",Low
TAV-CUS-MEN-001,"action:TAV-CUS-MEN-001,customer,menu",Medium
TAV-CUS-MEN-002,"action:TAV-CUS-MEN-002,customer,menu",High
TAV-CUS-MEN-003,"action:TAV-CUS-MEN-003,customer,menu",High
TAV-CUS-MEN-004,"action:TAV-CUS-MEN-004,customer,menu",Medium
TAV-CUS-MEN-005,"action:TAV-CUS-MEN-005,customer,menu",Medium
TAV-CUS-MEN-006,"action:TAV-CUS-MEN-006,customer,menu",Medium
TAV-CUS-MEN-007,"action:TAV-CUS-MEN-007,customer,menu",Medium
TAV-CUS-MEN-008,"action:TAV-CUS-MEN-008,customer,menu",High
TAV-CUS-MEN-009,"action:TAV-CUS-MEN-009,customer,menu",High
TAV-CUS-MEN-010,"action:TAV-CUS-MEN-010,customer,menu",High
TAV-CUS-MEN-011,"action:TAV-CUS-MEN-011,customer,menu",Medium
TAV-CUS-MEN-012,"action:TAV-CUS-MEN-012,customer,menu",Medium
TAV-CUS-MEN-013,"action:TAV-CUS-MEN-013,customer,menu",Medium
TAV-CUS-MEN-014,"action:TAV-CUS-MEN-014,customer,menu",Medium
TAV-CUS-MEN-015,"action:TAV-CUS-MEN-015,customer,menu",Medium
TAV-CUS-MEN-016,"action:TAV-CUS-MEN-016,customer,menu",High
TAV-CUS-MEN-017,"action:TAV-CUS-MEN-017,customer,menu",Low
TAV-CUS-BAS-001,"action:TAV-CUS-BAS-001,customer,basket",High
TAV-CUS-BAS-002,"action:TAV-CUS-BAS-002,customer,basket",Medium
TAV-CUS-BAS-003,"action:TAV-CUS-BAS-003,customer,basket",Medium
TAV-CUS-BAS-004,"action:TAV-CUS-BAS-004,customer,basket",Medium
TAV-CUS-BAS-005,"action:TAV-CUS-BAS-005,customer,basket",Medium
TAV-CUS-BAS-006,"action:TAV-CUS-BAS-006,customer,basket",Medium
TAV-CUS-BAS-007,"action:TAV-CUS-BAS-007,customer,basket",High
TAV-CUS-BAS-008,"action:TAV-CUS-BAS-008,customer,basket",Medium
TAV-CUS-BAS-009,"action:TAV-CUS-BAS-009,customer,basket",Low
TAV-CUS-BAS-010,"action:TAV-CUS-BAS-010,customer,basket",Low
TAV-CUS-BAS-011,"action:TAV-CUS-BAS-011,customer,basket",Low
TAV-CUS-PAY-001,"action:TAV-CUS-PAY-001,customer,payment",High
TAV-CUS-PAY-002,"action:TAV-CUS-PAY-002,customer,payment",High
TAV-CUS-PAY-003,"action:TAV-CUS-PAY-003,customer,payment",High
TAV-CUS-PAY-004,"action:TAV-CUS-PAY-004,customer,payment",Medium
TAV-CUS-PAY-005,"action:TAV-CUS-PAY-005,customer,payment",Medium
TAV-CUS-PAY-006,"action:TAV-CUS-PAY-006,customer,payment",High
TAV-CUS-PAY-007,"action:TAV-CUS-PAY-007,customer,payment",Medium
TAV-CUS-PAY-008,"action:TAV-CUS-PAY-008,customer,payment",High
TAV-CUS-PAY-009,"action:TAV-CUS-PAY-009,customer,payment",High
TAV-CUS-ORD-001,"action:TAV-CUS-ORD-001,customer,tracking",High
TAV-CUS-ORD-002,"action:TAV-CUS-ORD-002,customer,tracking",High
TAV-CUS-ORD-003,"action:TAV-CUS-ORD-003,customer,tracking",Medium
TAV-CUS-ORD-004,"action:TAV-CUS-ORD-004,customer,tracking",Medium
TAV-CUS-ORD-005,"action:TAV-CUS-ORD-005,customer,tracking",Medium
TAV-CUS-ORD-006,"action:TAV-CUS-ORD-006,customer,tracking",Medium
TAV-CUS-ORD-007,"action:TAV-CUS-ORD-007,customer,tracking",Medium
TAV-CUS-ORD-008,"action:TAV-CUS-ORD-008,customer,tracking",Low
TAV-CUS-ORD-009,"action:TAV-CUS-ORD-009,customer,tracking",High
TAV-CUS-REV-001,"action:TAV-CUS-REV-001,customer,reviews",Medium
TAV-CUS-REV-002,"action:TAV-CUS-REV-002,customer,reviews",Low
TAV-CUS-REV-003,"action:TAV-CUS-REV-003,customer,reviews",Low
TAV-CUS-REV-004,"action:TAV-CUS-REV-004,customer,reviews",Low
TAV-CUS-REV-005,"action:TAV-CUS-REV-005,customer,reviews",Medium
TAV-CUS-REV-006,"action:TAV-CUS-REV-006,customer,reviews",Low
TAV-CUS-LOY-001,"action:TAV-CUS-LOY-001,customer,loyalty",Medium
TAV-CUS-LOY-002,"action:TAV-CUS-LOY-002,customer,loyalty",Medium
TAV-CUS-LOY-003,"action:TAV-CUS-LOY-003,customer,loyalty",Low
TAV-CUS-LOY-004,"action:TAV-CUS-LOY-004,customer,loyalty",Low
TAV-CUS-LOY-005,"action:TAV-CUS-LOY-005,customer,loyalty",Medium
TAV-CUS-LOY-006,"action:TAV-CUS-LOY-006,customer,loyalty",Low
TAV-CUS-LOY-007,"action:TAV-CUS-LOY-007,customer,loyalty",Medium
TAV-CUS-LOY-008,"action:TAV-CUS-LOY-008,customer,loyalty",Low
TAV-CUS-LOY-009,"action:TAV-CUS-LOY-009,customer,loyalty",Low
TAV-CUS-LOY-010,"action:TAV-CUS-LOY-010,customer,loyalty",Low
